,year,avg_temp
14,1764,47
15,1765,47
16,1766,47
17,1767,47
18,1768,44
19,1769,46
20,1770,46
21,1771,46
22,1772,47
23,1773,47
24,1774,48
25,1775,49
26,1776,47
27,1777,47
28,1778,47
29,1779,48
30,1780,49
31,1781,47
32,1782,46
33,1783,46
34,1784,46
35,1785,45
36,1786,47
37,1787,46
38,1788,47
39,1789,47
40,1790,46
41,1791,47
42,1792,47
43,1793,47
44,1794,47
45,1795,47
46,1796,47
47,1797,47
48,1798,48
49,1799,47
50,1800,47
51,1801,47
52,1802,47
53,1803,47
54,1804,48
55,1805,47
56,1806,47
57,1807,47
58,1808,46
59,1809,45
60,1810,44
61,1811,44
62,1812,45
63,1813,46
64,1814,46
65,1815,45
66,1816,44
67,1817,45
68,1818,46
69,1819,45
70,1820,46
71,1821,47
72,1822,47
73,1823,46
74,1824,47
75,1825,47
76,1826,47
77,1827,48
78,1828,47
79,1829,46
80,1830,47
81,1831,46
82,1832,45
83,1833,46
84,1834,47
85,1835,45
86,1836,46
87,1837,45
88,1838,46
89,1839,46
90,1840,46
91,1841,46
92,1842,46
93,1843,47
94,1844,46
95,1845,46
96,1846,47
97,1847,47
98,1848,46
99,1849,46
100,1850,46
101,1851,47
102,1852,47
103,1853,46
104,1854,47
105,1855,47
106,1856,46
107,1857,46
108,1858,47
109,1859,47
110,1860,46
111,1861,46
112,1862,46
113,1863,47
114,1864,46
115,1865,47
116,1866,47
117,1867,47
118,1868,47
119,1869,47
120,1870,47
121,1871,47
122,1872,47
123,1873,47
124,1874,47
125,1875,46
126,1876,47
127,1877,47
128,1878,48
129,1879,47
130,1880,47
131,1881,47
132,1882,47
133,1883,46
134,1884,46
135,1885,46
136,1886,46
137,1887,46
138,1888,47
139,1889,47
140,1890,46
141,1891,46
142,1892,47
143,1893,47
144,1894,47
145,1895,47
146,1896,47
147,1897,47
148,1898,47
149,1899,47
150,1900,47
151,1901,47
152,1902,47
153,1903,47
154,1904,47
155,1905,47
156,1906,47
157,1907,46
158,1908,47
159,1909,47
160,1910,47
161,1911,47
162,1912,47
163,1913,47
164,1914,47
165,1915,47
166,1916,47
167,1917,46
168,1918,47
169,1919,47
170,1920,47
171,1921,47
172,1922,47
173,1923,47
174,1924,47
175,1925,47
176,1926,48
177,1927,47
178,1928,48
179,1929,47
180,1930,48
181,1931,48
182,1932,48
183,1933,47
184,1934,48
185,1935,47
186,1936,47
187,1937,48
188,1938,48
189,1939,48
190,1940,48
191,1941,48
192,1942,48
193,1943,48
194,1944,48
195,1945,47
196,1946,48
197,1947,48
198,1948,48
199,1949,47
200,1950,47
201,1951,48
202,1952,48
203,1953,48
204,1954,47
205,1955,48
206,1956,47
207,1957,48
208,1958,48
209,1959,48
210,1960,47
211,1961,48
212,1962,48
213,1963,48
214,1964,47
215,1965,47
216,1966,47
217,1967,48
218,1968,47
219,1969,47
220,1970,48
221,1971,47
222,1972,47
223,1973,48
224,1974,47
225,1975,48
226,1976,47
227,1977,48
228,1978,48
229,1979,48
230,1980,48
231,1981,49
232,1982,48
233,1983,48
234,1984,48
235,1985,48
236,1986,48
237,1987,48
238,1988,49
239,1989,48
240,1990,49
241,1991,49
242,1992,48
243,1993,48
244,1994,48
245,1995,49
246,1996,48
247,1997,49
248,1998,49
249,1999,49
250,2000,49
251,2001,49
252,2002,49
253,2003,49
254,2004,49
255,2005,49
256,2006,49
257,2007,50
258,2008,49
259,2009,49
260,2010,49
261,2011,49
262,2012,49
263,2013,49
